0 1.5168e-05 1.8057e-05 2.1383e-05 2.5177e-05 2.9462e-05 70 70 70 70 70
0.5 1.5338e-05 1.827e-05 2.1647e-05 2.5505e-05 2.987e-05 70 70 70 70 70
1 1.5849e-05 1.8907e-05 2.244e-05 2.6491e-05 3.1093e-05 70 70 70 70 70
1.5 1.6719e-05 1.9992e-05 2.3792e-05 2.8173e-05 3.3185e-05 70 70 70 70 70
2 1.7977e-05 2.1563e-05 2.5753e-05 3.0619e-05 3.6232e-05 70 70 70 70 70
2.5 1.9666e-05 2.3677e-05 2.8396e-05 3.3923e-05 4.0361e-05 70 70 70 70 70
3 2.1841e-05 2.6406e-05 3.1819e-05 3.8214e-05 4.5742e-05 70 70 70 70 70
3.5 2.4578e-05 2.9848e-05 3.6149e-05 4.3662e-05 5.2601e-05 70 70 70 70 70
4 2.7969e-05 3.4127e-05 4.155e-05 5.0483e-05 6.1225e-05 70 70 70 70 70
4.5 3.213e-05 3.9395e-05 4.8223e-05 5.8948e-05 7.1981e-05 70 70 70 70 70
5 3.7206e-05 4.5843e-05 5.6425e-05 6.9398e-05 8.5329e-05 70 70 70 70 70
5.5 4.3372e-05 5.3706e-05 6.6469e-05 8.2257e-05 0.00010184 70 70 70 70 70
6 5.0845e-05 6.3274e-05 7.8744e-05 9.8051e-05 0.00012224 70 70 70 70 70
6.5 5.9889e-05 7.4899e-05 9.3727e-05 0.00011743 0.00014741 70 70 70 70 70
7 7.0825e-05 8.9015e-05 0.00011201 0.00014119 0.00017847 70 70 70 70 70
7.5 8.4045e-05 0.00010615 0.00013431 0.00017034 0.00021679 70 70 70 70 70
8 0.00010003 0.00012696 0.00016151 0.0002061 0.00026409 70 70 70 70 70
8.5 0.00011935 0.00015223 0.00019471 0.00024999 0.00032251 70 70 70 70 70
9 0.00014271 0.00018293 0.00023526 0.00030387 0.0003947 70 70 70 70 70
9.5 0.00017099 0.00022024 0.00028478 0.00037007 0.00048395 70 70 70 70 70
10 0.00020521 0.00026561 0.00034531 0.00045144 0.00059438 70 70 70 70 70
10.5 0.00024666 0.00032081 0.00041934 0.00055153 0.00073107 70 70 70 70 70
11 0.00029689 0.00038801 0.00050991 0.00067471 0.0009004 70 70 70 70 70
11.5 0.00035778 0.00046986 0.00062081 0.0008264 0.0011103 70 70 70 70 70
12 0.00043163 0.0005696 0.00075665 0.0010133 0.0013705 70 70 70 70 70
12.5 0.00052126 0.0006912 0.00092313 0.0012437 0.0016935 70 70 70 70 70
13 0.00063007 0.00083954 0.0011273 0.0015278 0.0020944 70 70 70 70 70
13.5 0.00076224 0.0010206 0.0013777 0.0018784 0.0025924 70 70 70 70 70
14 0.00092286 0.0012416 0.001685 0.0023113 0.0032113 70 70 70 70 70
14.5 0.0011181 0.0015115 0.0020624 0.0028459 0.0039807 70 70 70 70 70
15 0.0013556 0.0018414 0.002526 0.0035065 0.0049376 70 70 70 70 70
15.5 0.0016445 0.0022446 0.0030957 0.0043231 0.0061284 70 70 70 70 70
16 0.0019961 0.0027377 0.0037961 0.0053328 0.0076106 70 70 70 70 70
16.5 0.0024243 0.003341 0.0046573 0.006582 0.0094564 70 70 70 70 70
17 0.0029458 0.0040792 0.0057169 0.0081277 0.011756 70 70 70 70 70
17.5 0.0035811 0.0049828 0.0070207 0.010041 0.014621 70 70 70 70 70
18 0.0043553 0.0060893 0.0086258 0.012411 0.018192 70 70 70 70 70
18.5 0.0052992 0.0074447 0.010602 0.015346 0.022646 70 70 70 70 70
19 0.0064503 0.0091054 0.013037 0.018982 0.0282 70 70 70 70 70
19.5 0.0078542 0.011141 0.016036 0.023489 0.03513 70 70 70 70 70
20 0.0095671 0.013636 0.019733 0.029077 0.043779 70 70 70 70 70
20.5 0.011658 0.016695 0.024289 0.036005 0.054574 70 70 70 70 68.691
21 0.014209 0.020447 0.029908 0.044599 0.065109 70 70 70 70 67.413
21.5 0.017325 0.02505 0.036837 0.05526 0.075397 70 70 70 68.709 66.165
22 0.021129 0.030699 0.045385 0.065677 0.085448 70 70 70 67.447 64.946
22.5 0.025777 0.037631 0.055931 0.075859 0.095273 70 70 68.724 66.214 63.755
23 0.031455 0.046141 0.066245 0.085818 0.10488 70 70 67.477 65.008 62.589
23.5 0.038393 0.056589 0.076338 0.095562 0.11428 70 68.738 66.256 63.828 61.449
24 0.046872 0.066817 0.086218 0.1051 0.12349 70 67.503 65.061 62.672 60.333
24.5 0.057238 0.076835 0.095895 0.11444 0.1325 68.75 66.293 63.891 61.541 59.239
25 0.067395 0.08665 0.10538 0.1236 0.14134 67.525 65.108 62.744 60.432 58.168
25.5 0.07735 0.096271 0.11467 0.13257 0.14999 66.325 63.946 61.62 59.345 57.118
26 0.084923 0.10352 0.1216 0.1392 0.15632 65.149 62.808 60.52 58.282 56.09
26.5 0.090164 0.10845 0.12623 0.14353 0.16036 63.999 61.695 59.443 57.24 55.084
27 0.093122 0.11111 0.1286 0.14561 0.16216 62.871 60.604 58.388 56.22 54.099
27.5 0.093844 0.11154 0.12875 0.14549 0.16177 61.767 59.535 57.354 55.221 53.133
28 0.092372 0.10979 0.12673 0.1432 0.15924 60.684 58.487 56.341 54.242 52.187
28.5 0.090934 0.10808 0.12476 0.14097 0.15676 59.62 57.458 55.346 53.28 51.259
29 0.089527 0.10641 0.12283 0.13879 0.15433 58.576 56.448 54.368 52.335 50.346
29.5 0.088151 0.10478 0.12094 0.13666 0.15196 57.55 55.455 53.408 51.407 49.449
30 0.086805 0.10318 0.11909 0.13457 0.14964 56.541 54.479 52.464 50.495 48.568
30.5 0.085488 0.10161 0.11728 0.13253 0.14737 55.549 53.519 51.536 49.598 47.702
